STATION,DAILY_ENTRIES,ZIP_CODE,MEDIAN_HOUSEHOLD
34 ST-PENN STA,4079062.0,10001,71245
GRD CNTRL-42 ST,3552131.0,10017,102524
34 ST-HERALD SQ,2880825.0,10001,71245
23 ST,2697108.0,10010,93702
TIMES SQ-42 ST,2471003.0,10035,23302
14 ST-UNION SQ,2456006.0,10003,89999
FULTON ST,2315168.0,10038,55937
42 ST-PORT AUTH,2309401.0,10036,62393
86 ST,1969292.0,10024,110999
CANAL ST,1843473.0,10013,69836
125 ST,1803278.0,10035,23302
59 ST COLUMBUS,1728035.0,10023,108286
96 ST,1643260.0,10025,65001
59 ST,1514972.0,10022,93107
14 ST,1443953.0,10011,92359
47-50 STS ROCK,1431510.0,10020,113846
FLUSHING-MAIN,1407129.0,11354,50019
CHAMBERS ST,1347268.0,10007,145459
50 ST,1253908.0,10019,84786
JKSN HT-ROOSVLT,1249610.0,11372,48149